source,source_name,target,target_name,weight
1bwle65z0TOlw4c0befbRL,Esporrei na manivela,0jVdF2QoGRXcsUSdGePlrD,"Do Jeito Que Eu Gosto, Do Jeito Que Eu Quero",0.7
1bwle65z0TOlw4c0befbRL,Esporrei na manivela,6NthJCbsfFFrTK2OYZTRCp,Ciúme,0.7
1bwle65z0TOlw4c0befbRL,Esporrei na manivela,526oudqufsW7qWIvHaZTfa,Metrópole,0.7
1bwle65z0TOlw4c0befbRL,Esporrei na manivela,6GMN1EyXGtCC4yAg4eSpMo,TROXA,0.7
1bwle65z0TOlw4c0befbRL,Esporrei na manivela,76yjNTMsef12pt2OPmRW0U,Me lambe,1.0
1bwle65z0TOlw4c0befbRL,Esporrei na manivela,4vqmq10gYLW7oykmUFUF65,Deixa eu falar...,1.0
1bwle65z0TOlw4c0befbRL,Esporrei na manivela,349flwjNbqIaE0Mph3jLGD,A mais pedida (feat. Érika Martins),1.0
1bwle65z0TOlw4c0befbRL,Esporrei na manivela,2Vwnw5Z0yRzfYefT6oGbCc,Reggae do manero,1.0
1bwle65z0TOlw4c0befbRL,Esporrei na manivela,4ZBAHIisGJC5NcIZhFdInf,Puteiro em João Pessoa (Roda Viva),1.0
1bwle65z0TOlw4c0befbRL,Esporrei na manivela,3Px0khdn0fzottFJ9kwM9U,Bonita,1.0
3tOqzG0MRSltM5vgqzWeGy,"Papai Noel, Velho Batuta",6bZ0rZjVyTWgiiwrQIYpwZ,Dig Dig Dig (Hempa),0.7
3tOqzG0MRSltM5vgqzWeGy,"Papai Noel, Velho Batuta",76yjNTMsef12pt2OPmRW0U,Me lambe,0.7
3tOqzG0MRSltM5vgqzWeGy,"Papai Noel, Velho Batuta",526oudqufsW7qWIvHaZTfa,Metrópole,0.7
3tOqzG0MRSltM5vgqzWeGy,"Papai Noel, Velho Batuta",3FcVMKymuwuESrpDXq0OtE,Meu Jeitinho,0.7
3tOqzG0MRSltM5vgqzWeGy,"Papai Noel, Velho Batuta",3Px0khdn0fzottFJ9kwM9U,Bonita,0.7
3tOqzG0MRSltM5vgqzWeGy,"Papai Noel, Velho Batuta",6NthJCbsfFFrTK2OYZTRCp,Ciúme,0.7
