,is_playable,explicit,type,episode,track,album,artists,disc_number,track_number,duration_ms,external_ids,external_urls,href,id,name,uri,is_local
0,True,False,track,False,True,"{'is_playable': True, 'type': 'album', 'album_type': 'album', 'href': 'https://api.spotify.com/v1/albums/4ebodSLpRqbuQjpGlDZglH', 'id': '4ebodSLpRqbuQjpGlDZglH', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273eaa10fffa60de320846c28be', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02eaa10fffa60de320846c28be', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851eaa10fffa60de320846c28be', 'width': 64}], 'name': 'Appeal To Reason', 'release_date': '2008-01-01', 'release_date_precision': 'day', 'uri': 'spotify:album:4ebodSLpRqbuQjpGlDZglH', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6Wr3hh341P84m3EI8qdn9O'}, 'href': 'https://api.spotify.com/v1/artists/6Wr3hh341P84m3EI8qdn9O', 'id': '6Wr3hh341P84m3EI8qdn9O', 'name': 'Rise Against', 'type': 'artist', 'uri': 'spotify:artist:6Wr3hh341P84m3EI8qdn9O'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4ebodSLpRqbuQjpGlDZglH'}, 'total_tracks': 14}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6Wr3hh341P84m3EI8qdn9O'}, 'href': 'https://api.spotify.com/v1/artists/6Wr3hh341P84m3EI8qdn9O', 'id': '6Wr3hh341P84m3EI8qdn9O', 'name': 'Rise Against', 'type': 'artist', 'uri': 'spotify:artist:6Wr3hh341P84m3EI8qdn9O'}]",1,11,242280,{'isrc': 'USUM70832584'},{'spotify': 'https://open.spotify.com/track/1vcxF91pWs9uNwDROuiCPB'},https://api.spotify.com/v1/tracks/1vcxF91pWs9uNwDROuiCPB,1vcxF91pWs9uNwDROuiCPB,Savior,spotify:track:1vcxF91pWs9uNwDROuiCPB,False
1,True,False,track,False,True,"{'is_playable': True, 'type': 'album', 'album_type': 'album', 'href': 'https://api.spotify.com/v1/albums/4OXoBlapQygTdzAifJm8BL', 'id': '4OXoBlapQygTdzAifJm8BL', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733e234c82f96fa4ded8e5ca47', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e023e234c82f96fa4ded8e5ca47', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048513e234c82f96fa4ded8e5ca47', 'width': 64}], 'name': 'Eternal Blue', 'release_date': '2021-09-17', 'release_date_precision': 'day', 'uri': 'spotify:album:4OXoBlapQygTdzAifJm8BL', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4MzJMcHQBl9SIYSjwWn8QW'}, 'href': 'https://api.spotify.com/v1/artists/4MzJMcHQBl9SIYSjwWn8QW', 'id': '4MzJMcHQBl9SIYSjwWn8QW', 'name': 'Spiritbox', 'type': 'artist', 'uri': 'spotify:artist:4MzJMcHQBl9SIYSjwWn8QW'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4OXoBlapQygTdzAifJm8BL'}, 'total_tracks': 12}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4MzJMcHQBl9SIYSjwWn8QW'}, 'href': 'https://api.spotify.com/v1/artists/4MzJMcHQBl9SIYSjwWn8QW', 'id': '4MzJMcHQBl9SIYSjwWn8QW', 'name': 'Spiritbox', 'type': 'artist', 'uri': 'spotify:artist:4MzJMcHQBl9SIYSjwWn8QW'}]",1,11,233880,{'isrc': 'QMRSZ2100664'},{'spotify': 'https://open.spotify.com/track/3FI0iAAAjmR31xpZEwbdys'},https://api.spotify.com/v1/tracks/3FI0iAAAjmR31xpZEwbdys,3FI0iAAAjmR31xpZEwbdys,Circle With Me,spotify:track:3FI0iAAAjmR31xpZEwbdys,False
2,True,False,track,False,True,"{'is_playable': True, 'type': 'album', 'album_type': 'single', 'href': 'https://api.spotify.com/v1/albums/3Su6Sgi0YjcUFuCzjLKYYq', 'id': '3Su6Sgi0YjcUFuCzjLKYYq', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b25f445c40bb5cd1e22ec272', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b25f445c40bb5cd1e22ec272', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b25f445c40bb5cd1e22ec272', 'width': 64}], 'name': 'Heavy Is the Crown', 'release_date': '2024-09-24', 'release_date_precision': 'day', 'uri': 'spotify:album:3Su6Sgi0YjcUFuCzjLKYYq', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz'}, 'href': 'https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz', 'id': '6XyY86QOPPrYVGvF9ch6wz', 'name': 'Linkin Park', 'type': 'artist', 'uri': 'spotify:artist:6XyY86QOPPrYVGvF9ch6wz'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3Su6Sgi0YjcUFuCzjLKYYq'}, 'total_tracks': 2}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz'}, 'href': 'https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz', 'id': '6XyY86QOPPrYVGvF9ch6wz', 'name': 'Linkin Park', 'type': 'artist', 'uri': 'spotify:artist:6XyY86QOPPrYVGvF9ch6wz'}]",1,1,167012,{'isrc': 'USWB12403466'},{'spotify': 'https://open.spotify.com/track/3fgehc497TFqKH1zBL2YNK'},https://api.spotify.com/v1/tracks/3fgehc497TFqKH1zBL2YNK,3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,spotify:track:3fgehc497TFqKH1zBL2YNK,False
3,True,True,track,False,True,"{'is_playable': True, 'type': 'album', 'album_type': 'album', 'href': 'https://api.spotify.com/v1/albums/3p7m1Pmg6n3BlpL9Py7IUA', 'id': '3p7m1Pmg6n3BlpL9Py7IUA', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e5f6f7ec99735d7b870f18ae', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e5f6f7ec99735d7b870f18ae', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e5f6f7ec99735d7b870f18ae', 'width': 64}], 'name': 'THE DEATH OF PEACE OF MIND', 'release_date': '2022-02-25', 'release_date_precision': 'day', 'uri': 'spotify:album:3p7m1Pmg6n3BlpL9Py7IUA', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3Ri4H12KFyu98LMjSoij5V'}, 'href': 'https://api.spotify.com/v1/artists/3Ri4H12KFyu98LMjSoij5V', 'id': '3Ri4H12KFyu98LMjSoij5V', 'name': 'Bad Omens', 'type': 'artist', 'uri': 'spotify:artist:3Ri4H12KFyu98LMjSoij5V'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/3p7m1Pmg6n3BlpL9Py7IUA'}, 'total_tracks': 15}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3Ri4H12KFyu98LMjSoij5V'}, 'href': 'https://api.spotify.com/v1/artists/3Ri4H12KFyu98LMjSoij5V', 'id': '3Ri4H12KFyu98LMjSoij5V', 'name': 'Bad Omens', 'type': 'artist', 'uri': 'spotify:artist:3Ri4H12KFyu98LMjSoij5V'}]",1,6,210685,{'isrc': 'USYFZ2264206'},{'spotify': 'https://open.spotify.com/track/0xoyUiHhxVH4gwb0CRgNmg'},https://api.spotify.com/v1/tracks/0xoyUiHhxVH4gwb0CRgNmg,0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,spotify:track:0xoyUiHhxVH4gwb0CRgNmg,False
4,True,False,track,False,True,"{'is_playable': True, 'type': 'album', 'album_type': 'album', 'href': 'https://api.spotify.com/v1/albums/1gjugH97doz3HktiEjx2vY', 'id': '1gjugH97doz3HktiEjx2vY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730b73608b678f169d3c8f35f0', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020b73608b678f169d3c8f35f0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510b73608b678f169d3c8f35f0', 'width': 64}], 'name': 'Take Me Back To Eden', 'release_date': '2023-05-19', 'release_date_precision': 'day', 'uri': 'spotify:album:1gjugH97doz3HktiEjx2vY', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2n2RSaZqBuUUukhbLlpnE6'}, 'href': 'https://api.spotify.com/v1/artists/2n2RSaZqBuUUukhbLlpnE6', 'id': '2n2RSaZqBuUUukhbLlpnE6', 'name': 'Sleep Token', 'type': 'artist', 'uri': 'spotify:artist:2n2RSaZqBuUUukhbLlpnE6'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1gjugH97doz3HktiEjx2vY'}, 'total_tracks': 12}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2n2RSaZqBuUUukhbLlpnE6'}, 'href': 'https://api.spotify.com/v1/artists/2n2RSaZqBuUUukhbLlpnE6', 'id': '2n2RSaZqBuUUukhbLlpnE6', 'name': 'Sleep Token', 'type': 'artist', 'uri': 'spotify:artist:2n2RSaZqBuUUukhbLlpnE6'}]",1,2,395716,{'isrc': 'GBUM72200352'},{'spotify': 'https://open.spotify.com/track/0S38Oso3I9vpDXcTb7kYt9'},https://api.spotify.com/v1/tracks/0S38Oso3I9vpDXcTb7kYt9,0S38Oso3I9vpDXcTb7kYt9,The Summoning,spotify:track:0S38Oso3I9vpDXcTb7kYt9,False
5,True,False,track,False,True,"{'is_playable': True, 'type': 'album', 'album_type': 'album', 'href': 'https://api.spotify.com/v1/albums/5d904eRcMkUSIipPixswNM', 'id': '5d904eRcMkUSIipPixswNM', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bec8649634b85d6c2db63f03', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bec8649634b85d6c2db63f03', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bec8649634b85d6c2db63f03', 'width': 64}], 'name': 'Look at Yourself', 'release_date': '2017-03-03', 'release_date_precision': 'day', 'uri': 'spotify:album:5d904eRcMkUSIipPixswNM', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1C62FV9Cltn9L4c9jAwCyk'}, 'href': 'https://api.spotify.com/v1/artists/1C62FV9Cltn9L4c9jAwCyk', 'id': '1C62FV9Cltn9L4c9jAwCyk', 'name': 'Emmure', 'type': 'artist', 'uri': 'spotify:artist:1C62FV9Cltn9L4c9jAwCyk'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5d904eRcMkUSIipPixswNM'}, 'total_tracks': 13}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1C62FV9Cltn9L4c9jAwCyk'}, 'href': 'https://api.spotify.com/v1/artists/1C62FV9Cltn9L4c9jAwCyk', 'id': '1C62FV9Cltn9L4c9jAwCyk', 'name': 'Emmure', 'type': 'artist', 'uri': 'spotify:artist:1C62FV9Cltn9L4c9jAwCyk'}]",1,1,92266,{'isrc': 'DED831601047'},{'spotify': 'https://open.spotify.com/track/0diSnstejl46AiNC2ISoeW'},https://api.spotify.com/v1/tracks/0diSnstejl46AiNC2ISoeW,0diSnstejl46AiNC2ISoeW,You Asked for It,spotify:track:0diSnstejl46AiNC2ISoeW,False
6,True,False,track,False,True,"{'is_playable': True, 'type': 'album', 'album_type': 'album', 'href': 'https://api.spotify.com/v1/albums/0el7KHRPZwYXPwXNeSNdJB', 'id': '0el7KHRPZwYXPwXNeSNdJB', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27309fe21cd518d989e0c31224d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0209fe21cd518d989e0c31224d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485109fe21cd518d989e0c31224d', 'width': 64}], 'name': 'ERROR', 'release_date': '2022-06-24', 'release_date_precision': 'day', 'uri': 'spotify:album:0el7KHRPZwYXPwXNeSNdJB', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2SmW1lFlBJn4IfBzBZDlSh'}, 'href': 'https://api.spotify.com/v1/artists/2SmW1lFlBJn4IfBzBZDlSh', 'id': '2SmW1lFlBJn4IfBzBZDlSh', 'name': 'The Warning', 'type': 'artist', 'uri': 'spotify:artist:2SmW1lFlBJn4IfBzBZDlSh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/0el7KHRPZwYXPwXNeSNdJB'}, 'total_tracks': 14}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2SmW1lFlBJn4IfBzBZDlSh'}, 'href': 'https://api.spotify.com/v1/artists/2SmW1lFlBJn4IfBzBZDlSh', 'id': '2SmW1lFlBJn4IfBzBZDlSh', 'name': 'The Warning', 'type': 'artist', 'uri': 'spotify:artist:2SmW1lFlBJn4IfBzBZDlSh'}]",1,9,182617,{'isrc': 'USUM72115903'},{'spotify': 'https://open.spotify.com/track/4L8rZacefAFsbYBI6iqQgz'},https://api.spotify.com/v1/tracks/4L8rZacefAFsbYBI6iqQgz,4L8rZacefAFsbYBI6iqQgz,Z,spotify:track:4L8rZacefAFsbYBI6iqQgz,False
7,True,True,track,False,True,"{'is_playable': True, 'type': 'album', 'album_type': 'album', 'href': 'https://api.spotify.com/v1/albums/0cn6MHyx4YuZauaB7Pb66o', 'id': '0cn6MHyx4YuZauaB7Pb66o', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c65f8d04502eeddbdd61fa71', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c65f8d04502eeddbdd61fa71', 'width': 64}], 'name': 'Mezmerize', 'release_date': '2005-05-17', 'release_date_precision': 'day', 'uri': 'spotify:album:0cn6MHyx4YuZauaB7Pb66o', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/5eAWCfyUhZtHHtBdNk56l1'}, 'href': 'https://api.spotify.com/v1/artists/5eAWCfyUhZtHHtBdNk56l1', 'id': '5eAWCfyUhZtHHtBdNk56l1', 'name': 'System Of A Down', 'type': 'artist', 'uri': 'spotify:artist:5eAWCfyUhZtHHtBdNk56l1'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/0cn6MHyx4YuZauaB7Pb66o'}, 'total_tracks': 11}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5eAWCfyUhZtHHtBdNk56l1'}, 'href': 'https://api.spotify.com/v1/artists/5eAWCfyUhZtHHtBdNk56l1', 'id': '5eAWCfyUhZtHHtBdNk56l1', 'name': 'System Of A Down', 'type': 'artist', 'uri': 'spotify:artist:5eAWCfyUhZtHHtBdNk56l1'}]",1,7,211333,{'isrc': 'USSM10501583'},{'spotify': 'https://open.spotify.com/track/249Z7XT6mf8B2zuI0RaeS0'},https://api.spotify.com/v1/tracks/249Z7XT6mf8B2zuI0RaeS0,249Z7XT6mf8B2zuI0RaeS0,Violent Pornography,spotify:track:249Z7XT6mf8B2zuI0RaeS0,False
8,True,False,track,False,True,"{'is_playable': True, 'type': 'album', 'album_type': 'album', 'href': 'https://api.spotify.com/v1/albums/6hPkbAV3ZXpGZBGUvL6jVM', 'id': '6hPkbAV3ZXpGZBGUvL6jVM', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e2f039481babe23658fc719a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e2f039481babe23658fc719a', 'width': 64}], 'name': 'Hybrid Theory (Bonus Edition)', 'release_date': '2000-10-24', 'release_date_precision': 'day', 'uri': 'spotify:album:6hPkbAV3ZXpGZBGUvL6jVM', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz'}, 'href': 'https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz', 'id': '6XyY86QOPPrYVGvF9ch6wz', 'name': 'Linkin Park', 'type': 'artist', 'uri': 'spotify:artist:6XyY86QOPPrYVGvF9ch6wz'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6hPkbAV3ZXpGZBGUvL6jVM'}, 'total_tracks': 15}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz'}, 'href': 'https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz', 'id': '6XyY86QOPPrYVGvF9ch6wz', 'name': 'Linkin Park', 'type': 'artist', 'uri': 'spotify:artist:6XyY86QOPPrYVGvF9ch6wz'}]",1,1,184866,{'isrc': 'USWB10002403'},{'spotify': 'https://open.spotify.com/track/1Vej0qeQ3ioKwpI6FUbRv1'},https://api.spotify.com/v1/tracks/1Vej0qeQ3ioKwpI6FUbRv1,1Vej0qeQ3ioKwpI6FUbRv1,Papercut,spotify:track:1Vej0qeQ3ioKwpI6FUbRv1,False
9,True,True,track,False,True,"{'is_playable': True, 'type': 'album', 'album_type': 'album', 'href': 'https://api.spotify.com/v1/albums/0dCRu5tVhx9fvbVZSxfjfP', 'id': '0dCRu5tVhx9fvbVZSxfjfP', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d23c71c684a6e4d669e8deff', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d23c71c684a6e4d669e8deff', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d23c71c684a6e4d669e8deff', 'width': 64}], 'name': 'Lost and Found', 'release_date': '2005', 'release_date_precision': 'year', 'uri': 'spotify:album:0dCRu5tVhx9fvbVZSxfjfP', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2Pfv2w8a20xzC7Dr7QXRqM'}, 'href': 'https://api.spotify.com/v1/artists/2Pfv2w8a20xzC7Dr7QXRqM', 'id': '2Pfv2w8a20xzC7Dr7QXRqM', 'name': 'Mudvayne', 'type': 'artist', 'uri': 'spotify:artist:2Pfv2w8a20xzC7Dr7QXRqM'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/0dCRu5tVhx9fvbVZSxfjfP'}, 'total_tracks': 12}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2Pfv2w8a20xzC7Dr7QXRqM'}, 'href': 'https://api.spotify.com/v1/artists/2Pfv2w8a20xzC7Dr7QXRqM', 'id': '2Pfv2w8a20xzC7Dr7QXRqM', 'name': 'Mudvayne', 'type': 'artist', 'uri': 'spotify:artist:2Pfv2w8a20xzC7Dr7QXRqM'}]",1,3,216426,{'isrc': 'USSM10500054'},{'spotify': 'https://open.spotify.com/track/0INUE1K7cEiE8VH63Rv5RJ'},https://api.spotify.com/v1/tracks/0INUE1K7cEiE8VH63Rv5RJ,0INUE1K7cEiE8VH63Rv5RJ,Happy?,spotify:track:0INUE1K7cEiE8VH63Rv5RJ,False
