source,source_name,target,target_name,weight
1vcxF91pWs9uNwDROuiCPB,Savior,5egqKwgK5r5rvGD1LrtR7J,Points of Authority,0.7
1vcxF91pWs9uNwDROuiCPB,Savior,5rAxhWcgFng3s570sGO2F8,A Place for My Head,0.7
1vcxF91pWs9uNwDROuiCPB,Savior,663Karu2rvKLdnY0eo1n3M,Call Me When You're Sober,0.7
1vcxF91pWs9uNwDROuiCPB,Savior,5mpUKTdskZea0gStWzeHUZ,Unsainted,0.7
1vcxF91pWs9uNwDROuiCPB,Savior,37gG4GPeTRPKKdXYx3zTRC,Song For The Dead,0.7
1vcxF91pWs9uNwDROuiCPB,Savior,7w6PJe5KBPyvuRYxFkPssC,No More Tears,0.7
1vcxF91pWs9uNwDROuiCPB,Savior,0fX9KPa0i9RGDI59gI90i9,Vermilion,0.7
1vcxF91pWs9uNwDROuiCPB,Savior,4d50VgYqfw1Rd0knRRL3qv,Ride The Lightning - Remastered,0.7
1vcxF91pWs9uNwDROuiCPB,Savior,0rPTPahzhGx9LSzI8XX5OM,Figure.09,0.7
1vcxF91pWs9uNwDROuiCPB,Savior,2vyCXIHhIK4yVh2mrsuEsy,Poisonous Apathy,0.7
3FI0iAAAjmR31xpZEwbdys,Circle With Me,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,0.7
3FI0iAAAjmR31xpZEwbdys,Circle With Me,6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,0.7
3FI0iAAAjmR31xpZEwbdys,Circle With Me,3zQy3N1K8Mk5QknfFuVGNc,Yellowjacket - feat. Sam Carter,1.0
3FI0iAAAjmR31xpZEwbdys,Circle With Me,7CoiOXsrfI58wUZBt45HgL,Perfect Soul,1.0
3FI0iAAAjmR31xpZEwbdys,Circle With Me,6IdyYbGg1jxiWhfwm2Ykjn,Jaded,1.0
3FI0iAAAjmR31xpZEwbdys,Circle With Me,4bkPAARkDov1lV05emEF7a,Soft Spine,1.0
3FI0iAAAjmR31xpZEwbdys,Circle With Me,0qZ03ABKZsGbGhvh1zbbil,Sun Killer,1.0
3FI0iAAAjmR31xpZEwbdys,Circle With Me,6EJwjtqOu69c0NRAk4RRcA,Blessed Be,1.0
3FI0iAAAjmR31xpZEwbdys,Circle With Me,0ADnhZNVVnSApQStXz2XxK,Electric Cross,1.0
3FI0iAAAjmR31xpZEwbdys,Circle With Me,3be9lEoOwbDROZViutmSgd,"No Loss, No Love",1.0
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,60a0Rd6pjrkxjPbaKzXjfq,In the End,1.0
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,5wmkQbOUTLjnDsdLeNgtO3,New Divide,1.0
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,2nLtzopw4rPReszdYBJU6h,Numb,1.0
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,1Vej0qeQ3ioKwpI6FUbRv1,Papercut,1.0
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,0pQZMrYNcfwZbt2Zt0pjaA,The Messenger,1.0
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,3dxiWIBVJRlqh9xk144rf4,Breaking the Habit,1.0
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,3K4HG9evC7dg3N0R9cYqk4,One Step Closer,1.0
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,6i5qhmmF9UNUBRyrPSGn4m,Two Faced,1.0
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,5Hh2VJj7bOWGsN0Jw6smwt,Two Faced,1.0
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,6aCBjSb87RizdH8lVBIRW7,Good Things Go,1.0
0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,2fuCquhmrzHpu5xcA1ci9x,Under Pressure - Remastered 2011,0.7
0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,0.7
0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,0M3adYbGtyRHACP86dey1H,Throne,0.7
0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,0.7
0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,2Qv8xJzenocwXyGlMU5PaC,ARTIFICIAL SUICIDE,1.0
0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,6tRneEcItwpSxBtqgem5Dr,THE DEATH OF PEACE OF MIND,1.0
0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,5krhWYmWIKJhI96deUujm8,Specter,1.0
